@relation twitterModel 

@attribute twitterLength real 
@attribute haveKeyword {TRUE,FALSE}
@attribute language {en,und,fr,de,ja,zh}
@attribute followersCount real 
@attribute retweetCount real
@attribute favoriteCount real
@attribute haveHash {TRUE, FALSE}
@attribute read {TRUE, FALSE}



@data
142, FALSE, en,1838,0,1,FALSE,FALSE
136, FALSE, en,1897,0,1,FALSE,FALSE
72, TRUE, en,1905,0,1,FALSE,FALSE
135, TRUE, en,2177,0,1,FALSE,FALSE
137, TRUE, en,32,0,1,FALSE,FALSE
87, TRUE, en,60,0,1,FALSE,FALSE
117, TRUE, en,85,0,1,FALSE,FALSE
126, TRUE, en,104,0,1,FALSE,FALSE
128, TRUE, en,105,0,1,FALSE,FALSE
106, TRUE, en,137,0,1,FALSE,FALSE
64, TRUE, en,146,0,1,FALSE,FALSE
64, TRUE, en,194,0,1,FALSE,FALSE
97, TRUE, en,224,0,1,FALSE,FALSE
131, TRUE, en,260,0,1,TRUE,FALSE
108, TRUE, en,458,0,1,TRUE,FALSE
111, FALSE, en,511,0,1,TRUE,FALSE
51, TRUE, en,602,0,1,TRUE,FALSE
133, TRUE, en,603,0,1,TRUE,FALSE
136, FALSE, en,623,0,1,TRUE,FALSE
87, TRUE, en,2663,0,1,TRUE,FALSE
94, TRUE, und,9,0,1,TRUE,FALSE
110, TRUE, und,10,0,1,TRUE,FALSE
141, FALSE,fr,9,0,1,TRUE,FALSE
142, FALSE,fr,9,0,1,TRUE,FALSE
137, TRUE,zh,18,0,1,TRUE,FALSE
85, FALSE, en,584,0,1,TRUE,TRUE
123, TRUE, en,623,0,1,TRUE,TRUE
136, TRUE, en,2663,0,1,TRUE,TRUE
69, FALSE, en,3813,0,1,TRUE,TRUE
53, TRUE, en,4290,0,1,TRUE,TRUE
133, FALSE, en,1475,0,2,TRUE,FALSE
136, TRUE, en,1171,0,2,TRUE,FALSE
88, TRUE, en,1838,0,2,TRUE,FALSE
141, TRUE, und,9,0,2,TRUE,FALSE
121, TRUE, en,718,0,2,TRUE,TRUE
64, TRUE, en,282,0,2,TRUE,TRUE
19, TRUE, en,784,0,2,TRUE,TRUE
68, FALSE, en,3555,0,2,TRUE,TRUE
74, TRUE, en,305,0,3,TRUE,FALSE
110, TRUE, en,311,0,3,TRUE,FALSE
51, FALSE, und,841,0,3,TRUE,FALSE
105, TRUE, en,6274,0,3,TRUE,TRUE
89, TRUE, en,2414,0,3,TRUE,TRUE
121, TRUE, en,433,0,4,TRUE,FALSE
135, FALSE, en,6856,0,4,TRUE,FALSE
69, TRUE, en,179,0,4,TRUE,FALSE
136, TRUE, en,970,0,5,TRUE,FALSE
149, FALSE, en,56,0,6,TRUE,FALSE
102, FALSE, en,689,0,6,TRUE,FALSE
124, FALSE, en,33,1,0,FALSE,FALSE
102, FALSE, en,1368,1,0,FALSE,FALSE
142, FALSE, en,41,1,0,TRUE,FALSE
108, FALSE, en,42,1,0,TRUE,FALSE
151, FALSE, en,150,1,0,TRUE,FALSE
135, FALSE, en,322,1,0,TRUE,FALSE
138, FALSE,zh,29,1,0,TRUE,FALSE
142, FALSE, en,447,1,0,TRUE,TRUE
144, TRUE, en,4020,1,0,TRUE,TRUE
132, TRUE, en,511,1,1,FALSE,FALSE
141, TRUE, en,46,1,1,TRUE,FALSE
120, TRUE, en,25433,1,2,TRUE,FALSE
136, TRUE, en,5854,1,2,TRUE,FALSE
101, TRUE, en,397,1,3,TRUE,FALSE
83, FALSE, en,2414,1,3,TRUE,TRUE
64, FALSE, en,3603,1,3,TRUE,TRUE
116, FALSE, en,2414,1,4,TRUE,FALSE
148, FALSE, en,428,1,4,TRUE,TRUE
142, FALSE, en,33,2,0,FALSE,FALSE
112, TRUE, en,9825,3,0,FALSE,FALSE
112, TRUE, en,25433,3,0,TRUE,FALSE
112, TRUE, en,658,3,0,TRUE,TRUE
137, TRUE, en,198,3,2,TRUE,TRUE
92, TRUE, en,25433,3,2,TRUE,TRUE
123, TRUE, en,66,4,0,TRUE,FALSE
123, TRUE, en,3427,4,0,TRUE,FALSE
101, TRUE, en,47,4,0,TRUE,TRUE
123, TRUE, en,318,4,0,TRUE,TRUE
123, TRUE, en,826,4,0,TRUE,TRUE
105, TRUE, en,936,4,8,TRUE,FALSE
142, TRUE, en,151,9,0,FALSE,FALSE
142, TRUE, en,348,9,0,FALSE,FALSE
142, TRUE, en,1422,9,0,FALSE,FALSE
142, TRUE, und,9,9,0,TRUE,FALSE
76, FALSE, und,10,9,0,TRUE,FALSE
142, TRUE, en,290,9,0,TRUE,TRUE
132, TRUE, en,113,9,24,TRUE,TRUE
148, TRUE,zh,15,10,0,TRUE,FALSE
71, TRUE, en,2313,10,21,TRUE,TRUE
124, TRUE, en,7830,30,65,TRUE,TRUE
131, TRUE, en,165,32,0,FALSE,TRUE
